0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
32,32,42,47,53,53,90,90,136,152,161,170,170,170,170,170,170
32,34,39,44,76,96,104,121,161,170,170,170,170,170,170,170,170
30,34,43,46,55,72,74,74,83,92,92,131,145,170,170,170,170
35,37,42,47,54,60,107,109,118,138,161,170,170,170,170,170,170
30,35,39,53,53,56,65,82,105,114,114,145,170,170,170,170,170
32,32,32,46,60,60,77,86,86,143,152,152,170,170,170,170,170
30,30,30,32,41,51,56,65,74,74,86,131,170,170,170,170,170
30,32,40,42,42,51,78,87,130,161,170,170,170,170,170,170,170
32,37,54,56,65,70,97,102,112,112,161,170,170,170,170,170,170
30,32,33,50,63,93,102,102,107,152,161,170,170,170,170,170,170
32,34,77,77,82,82,98,104,134,143,152,161,170,170,170,170,170
30,30,32,34,43,48,74,80,89,97,122,161,170,170,170,170,170
30,37,39,39,42,50,76,85,91,111,120,136,145,161,170,170,170
32,32,54,59,65,78,89,113,113,113,122,152,161,170,170,170,170
30,34,36,42,65,72,89,125,134,143,152,152,170,170,170,170,170
35,35,37,37,61,69,95,118,127,136,138,161,170,170,170,170,170
30,35,37,73,75,109,109,118,134,143,152,161,170,170,170,170,170
32,37,68,68,68,79,88,90,122,161,170,170,170,170,170,170,170
30,37,52,66,96,116,122,161,170,170,170,170,170,170,170,170,170
35,45,86,88,95,97,102,125,170,170,170,170,170,170,170,170,170
30,30,32,40,50,81,97,104,134,143,143,152,170,170,170,170,170
30,37,45,79,83,91,127,136,152,161,170,170,170,170,170,170,170
30,32,37,80,84,85,85,136,136,161,170,170,170,170,170,170,170
32,34,36,61,65,95,104,113,122,131,170,170,170,170,170,170,170
32,37,40,46,47,74,107,116,125,131,161,170,170,170,170,170,170
32,41,41,44,44,59,64,87,96,102,122,161,170,170,170,170,170
32,34,40,53,53,58,66,99,135,143,152,161,170,170,170,170,170
32,35,43,73,74,77,80,89,98,98,116,126,145,170,170,170,170
37,40,41,61,63,72,102,111,116,136,152,161,170,170,170,170,170
30,41,52,54,92,92,98,103,115,122,152,161,170,170,170,170,170
32,34,44,44,55,59,68,85,94,114,119,131,170,170,170,170,170
30,34,39,71,74,74,113,143,152,161,170,170,170,170,170,170,170
32,37,39,49,84,98,112,129,152,161,170,170,170,170,170,170,170
32,37,39,47,52,76,78,152,161,170,170,170,170,170,170,170,170
37,42,48,51,63,67,70,95,145,161,170,170,170,170,170,170,170
30,30,43,53,65,69,100,110,136,145,170,170,170,170,170,170,170
30,32,46,48,48,76,76,98,98,127,152,152,152,152,170,170,170
35,41,43,50,55,58,64,110,170,170,170,170,170,170,170,170,170
32,37,42,42,68,99,99,144,153,161,170,170,170,170,170,170,170
32,32,46,47,56,92,97,116,161,170,170,170,170,170,170,170,170
30,32,35,45,50,56,56,77,79,80,92,152,161,170,170,170,170
32,38,41,45,54,66,86,86,88,127,136,145,170,170,170,170,170
32,38,44,49,70,90,92,161,170,170,170,170,170,170,170,170,170
30,34,39,84,92,161,170,170,170,170,170,170,170,170,170,170,170
30,35,51,102,104,113,113,152,161,170,170,170,170,170,170,170,170
30,32,34,39,39,82,82,99,152,161,170,170,170,170,170,170,170
32,32,42,51,53,72,88,88,91,103,152,161,170,170,170,170,170
30,39,44,57,59,71,96,98,112,129,152,161,170,170,170,170,170
30,32,34,43,50,79,86,111,120,125,131,170,170,170,170,170,170
35,43,45,71,80,80,103,110,135,144,152,152,170,170,170,170,170
32,37,39,43,58,95,104,118,120,127,152,161,170,170,170,170,170
32,43,47,49,52,52,82,113,152,152,170,170,170,170,170,170,170
32,41,42,57,96,116,122,122,145,170,170,170,170,170,170,170,170
35,43,45,61,67,86,105,113,152,161,170,170,170,170,170,170,170
35,38,43,60,82,84,127,127,136,145,161,161,161,161,161,161,161
32,34,44,44,74,83,89,92,101,161,170,170,170,170,170,170,170
35,37,39,84,86,86,95,104,108,144,144,161,170,170,170,170,170
30,30,34,53,71,75,84,101,113,127,136,161,170,170,170,170,170
30,47,51,63,78,79,104,109,129,161,170,170,170,170,170,170,170
32,34,40,42,44,46,58,67,81,113,143,152,161,170,170,170,170
32,32,34,34,52,64,91,117,134,143,143,161,170,170,170,170,170
32,40,45,47,50,83,92,93,94,100,116,152,161,170,170,170,170
37,41,61,61,72,76,85,93,145,170,170,170,170,170,170,170,170
30,37,39,41,46,55,83,152,161,170,170,170,170,170,170,170,170
30,30,32,48,50,52,66,98,135,144,153,161,170,170,170,170,170
32,37,37,68,84,93,102,104,111,113,122,136,145,170,170,170,170
32,34,39,42,42,56,93,102,127,136,152,161,170,170,170,170,170
32,34,44,44,65,95,104,113,118,170,170,170,170,170,170,170,170
32,37,39,41,61,109,118,134,143,152,161,170,170,170,170,170,170
32,34,39,45,47,84,113,113,161,170,170,170,170,170,170,170,170
35,37,39,84,86,135,143,152,161,170,170,170,170,170,170,170,170
30,32,37,43,45,52,62,92,101,127,152,161,170,170,170,170,170
32,38,43,49,54,54,58,84,107,113,122,152,161,170,170,170,170
32,41,43,43,54,57,75,111,111,116,170,170,170,170,170,170,170
35,40,43,45,45,45,100,116,125,145,170,170,170,170,170,170,170
32,42,46,49,49,79,79,82,102,118,127,136,145,161,170,170,170
32,32,41,43,48,95,104,113,113,122,131,145,161,170,170,170,170
